"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Friesland (PV)";"1997 4th quarter";"44.9";"1.9";"8.3";"2191";"12.4";"5.1"
"Friesland (PV)";"1997";"43.4";"9.3";"9.3";"7666";"0.3";"0.3"
"Friesland (PV)";"1998 1st quarter";"46.4";"3.5";"12.4";"1370";"-37.5";"-6.7"
"Friesland (PV)";"1998 2nd quarter";"47.4";"2.1";"9.0";"1957";"42.8";"-4.9"
"Friesland (PV)";"1998 3rd quarter";"48.7";"2.7";"10.6";"1933";"-1.2";"-0.9"
"Friesland (PV)";"1998 4th quarter";"49.7";"2.1";"10.8";"2277";"17.8";"3.9"
"Friesland (PV)";"1998";"48.1";"10.7";"10.7";"7537";"-1.7";"-1.7"
"Friesland (PV)";"1999 1st quarter";"51.1";"2.8";"10.1";"1689";"-25.8";"23.3"
"Friesland (PV)";"1999 2nd quarter";"53.2";"4.1";"12.2";"2174";"28.7";"11.1"
"Friesland (PV)";"1999 3rd quarter";"56.2";"5.6";"15.3";"2390";"9.9";"23.6"
"Friesland (PV)";"1999 4th quarter";"58.1";"3.3";"16.8";"2332";"-2.4";"2.4"
"Friesland (PV)";"1999";"54.6";"13.7";"13.7";"8585";"13.9";"13.9"
"Friesland (PV)";"2000 1st quarter";"60.6";"4.5";"18.6";"1500";"-35.7";"-11.2"
"Friesland (PV)";"2000 2nd quarter";"64.1";"5.6";"20.4";"1806";"20.4";"-16.9"
"Friesland (PV)";"2000 3rd quarter";"67.4";"5.2";"20.0";"1983";"9.8";"-17.0"
"Friesland (PV)";"2000 4th quarter";"68.0";"0.9";"17.1";"2287";"15.3";"-1.9"
"Friesland (PV)";"2000";"65.0";"19.0";"19.0";"7576";"-11.8";"-11.8"
"Friesland (PV)";"2001 1st quarter";"70.9";"4.2";"16.9";"1511";"-33.9";"0.7"
"Friesland (PV)";"2001 2nd quarter";"72.8";"2.7";"13.7";"2030";"34.3";"12.4"
"Friesland (PV)";"2001 3rd quarter";"74.9";"2.8";"11.1";"2098";"3.4";"5.8"
